player_id,username,nome,titulo,avatar,url,seguidores,pais,data_entrada,status,is_streamer,verificado,origem
47485766,polish_fighter3000,Jan-Krzysztof Duda,GM,https://images.chesscomfiles.com/uploads/v1/user/47485766.de241c41.200x200o.7b706ebf58e7.jpeg,https://www.chess.com/member/Polish_fighter3000,8542,PL,2018-06-29,premium,False,False,chess.com
207852275,philippians46,Andy Woodward,GM,https://images.chesscomfiles.com/uploads/v1/user/207852275.b5fd5b9c.200x200o.2658380fdb00.png,https://www.chess.com/member/Philippians46,1985,US,2022-11-21,premium,False,False,chess.com
35895346,mykola-bortnyk,Mykola Bortnyk,IM,https://images.chesscomfiles.com/uploads/v1/user/35895346.3571bef9.200x200o.a1ca3885e2f9.png,https://www.chess.com/member/Mykola-Bortnyk,2286,US,2017-05-29,premium,False,False,chess.com
330779979,javokhir_sindarov05,Javokhir Sindarov,GM,https://images.chesscomfiles.com/uploads/v1/user/330779979.94d8134b.200x200o.1e0c8c8f4314.jpg,https://www.chess.com/member/Javokhir_Sindarov05,779,UZ,2023-12-06,premium,False,False,chess.com
52129472,spicycaterpillar,Ray Robson,GM,https://images.chesscomfiles.com/uploads/v1/user/52129472.c1bdd2d7.200x200o.30201b8ea497.jpeg,https://www.chess.com/member/spicycaterpillar,3163,US,2018-11-21,premium,False,False,chess.com
93593240,vi_pranav,Pranav V,GM,https://images.chesscomfiles.com/uploads/v1/user/93593240.10fc5f09.200x200o.d1f519160672.jpg,https://www.chess.com/member/vi_pranav,1803,IN,2020-10-21,premium,False,False,chess.com
76811198,twitch_elhamblitz05,Elham Amar,GM,,https://www.chess.com/member/Twitch_ElhamBlitz05,1001,NO,2020-04-15,premium,False,False,chess.com
11474230,jefferyx,Jeffery Xiong,GM,https://images.chesscomfiles.com/uploads/v1/user/11474230.1802ddb7.200x200o.60d5d5608100.jpeg,https://www.chess.com/member/jefferyx,2696,US,2013-04-11,premium,True,False,chess.com
108520120,nikotheodorou,Nikolas Theodorou,GM,https://images.chesscomfiles.com/uploads/v1/user/108520120.b86cc966.200x200o.d85a0c84f2ae.jpg,https://www.chess.com/member/NikoTheodorou,13846,GR,2020-12-31,premium,False,False,chess.com
17306408,lyonbeast,Maxime Vachier-Lagrave,GM,https://images.chesscomfiles.com/uploads/v1/user/17306408.203effc9.200x200o.34baf459f6b7.jpg,https://www.chess.com/member/LyonBeast,15054,FR,2014-05-15,premium,True,False,chess.com
8829034,konavets,Sam Sevian,GM,https://images.chesscomfiles.com/uploads/v1/user/8829034.6d90a567.200x200o.60d12a06fdce.jpeg,https://www.chess.com/member/Konavets,1306,US,2012-09-08,premium,False,False,chess.com
