enxadrista_id,player_id,username,nome,titulo,pais,avatar,seguidores,data_entrada,status,is_streamer,verificado,fide_id,federacao_fide,ano_nascimento,sexo,titulo_fide,rating_fide_standard,jogos_fide_standard,rating_fide_rapid,jogos_fide_rapid,rating_fide_blitz,jogos_fide_blitz,origem
85,2295334,grandmastergauri,Gauri Shankar,IM,US,https://images.chesscomfiles.com/uploads/v1/user/2295334.73f7eb58.200x200o.84b80eedfc9c.jpeg,725,1258047689,premium,False,False,,,,,,,,,,,,chess.com
86,3978224,zenzo,Armen Proudian,FM,BR,https://images.chesscomfiles.com/uploads/v1/user/3978224.bf373225.200x200o.138451b06615.jpeg,657,1284491777,premium,False,False,,,,,,,,,,,,chess.com
87,502840905,d6stronk,Bartosz Przybylski,FM,PL,https://images.chesscomfiles.com/uploads/v1/user/502840905.bf5010c2.200x200o.7adab6d63fa2.jpg,19,1763687811,premium,False,False,,,,,,,,,,,,chess.com
88,4083321,tapuah,Ilya Smirin,GM,IL,https://images.chesscomfiles.com/uploads/v1/user/4083321.a05d5ef2.200x200o.3f6dddd743a7.jpeg,5160,1286373393,premium,False,False,,,,,,,,,,,,chess.com
89,58985560,hamelekh,eyal deutsch,IM,IL,https://images.chesscomfiles.com/uploads/v1/user/58985560.00f4fb26.200x200o.9e72cbfd6825.jpeg,118,1553538543,premium,False,False,,,,,,,,,,,,chess.com
90,440178829,svr_2100khmym2k,,,ES,,1,1743096307,basic,False,False,,,,,,,,,,,,chess.com
91,1973757,sanyi9,Sanyi,,HU,,37,1244993787,premium,False,False,,,,,,,,,,,,chess.com
92,490664473,fernanjoel111762,,,PH,,4,1760012384,basic,False,False,,,,,,,,,,,,chess.com
93,55667092,wotgenie,Marcel Petersen,CM,DE,https://images.chesscomfiles.com/uploads/v1/user/55667092.b3eb0462.200x200o.59bd3d605004.jpeg,75,1546908536,premium,False,False,,,,,,,,,,,,chess.com
94,66246790,liamputnam2008,Liam Putnam,IM,US,https://images.chesscomfiles.com/uploads/v1/user/66246790.01e0ba2c.200x200o.fdaa257a68fe.jpg,3301,1570134100,premium,False,False,,,,,,,,,,,,chess.com
95,342500227,ntphuc1122,,,VN,https://images.chesscomfiles.com/uploads/v1/user/342500227.1aea4f3c.200x200o.ad1f6c0fa53a.jpg,206,1706766921,premium,False,False,,,,,,,,,,,,chess.com
96,109315520,alexboy14,Oleksii Nakonechnyi,CM,UA,https://images.chesscomfiles.com/uploads/v1/user/109315520.e768e154.200x200o.3d2e3ad62eb8.jpg,21,1609653338,premium,False,False,,,,,,,,,,,,chess.com
97,465636602,arkadiikhromaev,,,XO,https://images.chesscomfiles.com/uploads/v1/user/465636602.a1090b7d.200x200o.ebd78ec3ca88.jpg,142,1752076697,premium,False,False,,,,,,,,,,,,chess.com
98,156574447,shadowking71,James Chirilov,FM,AG,https://images.chesscomfiles.com/uploads/v1/user/156574447.3a5f84aa.200x200o.5df91856bab9.png,928,1633105511,premium,True,False,,,,,,,,,,,,chess.com
99,490142287,qopy01,,,TR,https://images.chesscomfiles.com/uploads/v1/user/490142287.af8e235e.200x200o.8ed55c71d382.jpg,18,1759855308,premium,False,False,,,,,,,,,,,,chess.com
100,147561215,badfarma07,,,US,https://images.chesscomfiles.com/uploads/v1/user/147561215.20520474.200x200o.5d31537919a3.jpg,275,1626039254,premium,False,False,,,,,,,,,,,,chess.com
101,8344034,penguingm1,Andrew Tang,GM,US,https://images.chesscomfiles.com/uploads/v1/user/8344034.afe06124.200x200o.bcc27fc3d0b3.gif,9911,1343425021,premium,False,False,,,,,,,,,,,,chess.com
102,28168290,oleksandr_bortnyk,Oleksandr Bortnyk,GM,US,https://images.chesscomfiles.com/uploads/v1/user/28168290.451f25f9.200x200o.8f240686cf4e.jpg,14226,1463142885,premium,True,False,,,,,,,,,,,,chess.com
103,2555939,chessbrah,Chessbrah TV,GM,CA,https://images.chesscomfiles.com/uploads/v1/user/2555939.974bf39b.200x200o.b79b105ffb0e.png,25821,1266278502,premium,True,False,,,,,,,,,,,,chess.com
104,26572336,zhigalko_sergei,Sergei Zhigalko,GM,XX,https://images.chesscomfiles.com/uploads/v1/user/26572336.93bb4ad6.200x200o.baa9688f1b6f.jpeg,2089,1454847263,premium,False,False,,,,,,,,,,,,chess.com
105,302890559,boburjon314159,,,NO,https://images.chesscomfiles.com/uploads/v1/user/302890559.825945ee.200x200o.742a33d9e87c.jpg,50,1690724905,basic,False,False,,,,,,,,,,,,chess.com
106,69197334,riley,KJ Honey,,BR,https://images.chesscomfiles.com/uploads/v1/user/69197334.45ea7a13.200x200o.cf7a49b01af2.jpg,6164,1576086876,premium,False,False,,,,,,,,,,,,chess.com
107,73320100,0gzpanda,Anthony He,IM,US,https://images.chesscomfiles.com/uploads/v1/user/73320100.1d4e560c.200x200o.b8fd2b3db995.png,586,1583872513,premium,False,False,,,,,,,,,,,,chess.com
108,34493616,blackmind96,Amir Mohammad Hamidi,FM,IR,https://images.chesscomfiles.com/uploads/v1/user/34493616.3fd976d8.200x200o.259d0bda56c5.jpeg,6977,1491242669,premium,False,False,,,,,,,,,,,,chess.com
109,301895675,theystolemysanity,,,XX,,7,1690265103,basic,False,False,,,,,,,,,,,,chess.com
110,21261922,miterryble,Renato Terry,IM,XX,,5747,1424880590,premium,True,False,,,,,,,,,,,,chess.com
111,22639240,platy3,Alan Pichot,GM,ES,https://images.chesscomfiles.com/uploads/v1/user/22639240.1da8984e.200x200o.b0b696b8f6da.jpg,2787,1433174480,premium,False,False,,,,,,,,,,,,chess.com
112,47092728,mitrabhaa,Mitrabha Guha,GM,IN,https://images.chesscomfiles.com/uploads/v1/user/47092728.33d4b6ed.200x200o.e21b735a39a2.jpeg,1720,1528991976,premium,True,False,,,,,,,,,,,,chess.com
113,37620822,judenyc,Jude Dude,,NO,https://images.chesscomfiles.com/uploads/v1/user/37620822.67352eda.200x200o.4c2a60f9db2d.jpg,553,1502082700,premium,False,False,,,,,,,,,,,,chess.com
114,51814804,wk_willianhille,Willian Henrique Hille,NM,BR,https://images.chesscomfiles.com/uploads/v1/user/51814804.220a2601.200x200o.655b1852060d.jpg,2031,1542142041,premium,False,False,,,,,,,,,,,,chess.com
115,5081249,littleplotkin,Mark Plotkin,IM,CA,https://images.chesscomfiles.com/uploads/v1/user/5081249.6e61c86a.200x200o.5b315cc56f53.jpeg,1491,1304607022,premium,False,False,,,,,,,,,,,,chess.com
116,48765560,kingofthenil,Mahel Boyer,GM,FR,https://images.chesscomfiles.com/uploads/v1/user/48765560.81ea3488.200x200o.2a3526585307.webp,291,1534262047,premium,False,False,,,,,,,,,,,,chess.com
117,47102936,yavrukurt40,Dincer Tasdogen,FM,TR,,248,1529017954,premium,False,False,,,,,,,,,,,,chess.com
118,13355618,spectralsoul,Esteban Valderrama,IM,CO,https://images.chesscomfiles.com/uploads/v1/user/13355618.fa0fcee6.200x200o.8a7a45d77fdc.jpeg,797,1377991886,premium,False,False,,,,,,,,,,,,chess.com
119,158597961,elfangm2,Elbert Fang,NM,US,https://images.chesscomfiles.com/uploads/v1/user/158597961.406ead1e.200x200o.f3002dd4baf2.webp,203,1634699353,premium,False,False,,,,,,,,,,,,chess.com
120,341886071,worriedegg,Aaron Jacobson,IM,US,,108,1706492475,premium,False,False,,,,,,,,,,,,chess.com
121,23583280,bocah_sakit,Novendra Priasmoro,GM,ID,https://images.chesscomfiles.com/uploads/v1/user/23583280.893f9b8e.200x200o.44731b8321f9.jpeg,625,1439043895,premium,False,False,,,,,,,,,,,,chess.com
122,55213504,dolphin_2010,Aleksandr Usov,FM,RU,,33,1545989921,premium,False,False,,,,,,,,,,,,chess.com
123,43499854,tactic,Kent Slate,NM,XX,https://images.chesscomfiles.com/uploads/v1/user/43499854.e7c64b0e.200x200o.3eaa576c08c3.webp,699,1519053244,premium,False,False,,,,,,,,,,,,chess.com
