player_id,modalidade,data_referencia,rating_atual,rating_melhor,data_rating_melhor,vitorias,derrotas,empates
28234198,blitz,2026-01-19,3024,3136.0,2025-06-10,434,155,89
28234198,bullet,2026-01-19,2950,3123.0,2025-01-22,794,403,100
75631914,rapid,2026-01-19,2676,2676.0,2025-12-29,301,98,45
75631914,blitz,2026-01-19,2917,2946.0,2025-12-20,2277,1578,366
75631914,bullet,2026-01-19,2664,2800.0,2025-01-13,875,662,92
23879414,rapid,2026-01-19,2676,2709.0,2022-01-22,26,4,9
23879414,blitz,2026-01-19,2657,2865.0,2019-07-25,563,336,114
23879414,bullet,2026-01-19,2342,2342.0,2020-12-02,15,13,4
26735280,rapid,2026-01-19,2675,2675.0,2025-12-05,83,34,15
26735280,blitz,2026-01-19,2641,2766.0,2020-09-03,7339,6631,948
26735280,bullet,2026-01-19,2395,2395.0,2025-01-19,1,1,0
37419240,rapid,2026-01-19,2674,2674.0,2020-09-13,55,10,4
37419240,blitz,2026-01-19,2689,2689.0,2021-03-26,270,177,35
37419240,bullet,2026-01-19,2590,2600.0,2025-01-28,751,554,71
371633593,rapid,2026-01-19,2664,2672.0,2026-01-18,530,143,93
371633593,blitz,2026-01-19,2756,2813.0,2025-06-29,781,646,244
371633593,bullet,2026-01-19,2501,2524.0,2024-10-03,223,71,28
188604399,rapid,2026-01-19,2664,2664.0,2026-01-19,2256,599,310
188604399,blitz,2026-01-19,2668,2762.0,2025-01-17,2210,1647,371
188604399,bullet,2026-01-19,2653,2723.0,2024-11-09,1034,972,175
55969800,rapid,2026-01-19,2657,2659.0,2025-10-24,183,93,29
55969800,blitz,2026-01-19,2926,2981.0,2026-01-05,5070,4715,958
55969800,bullet,2026-01-19,2764,2875.0,2025-07-14,780,649,90
2295334,rapid,2026-01-19,2655,2660.0,2025-11-18,135,13,9
2295334,blitz,2026-01-19,2904,2904.0,2025-10-17,1487,1375,223
2295334,bullet,2026-01-19,2866,2955.0,2025-10-13,7716,7936,1025
3978224,rapid,2026-01-19,2652,2652.0,2025-12-25,248,88,29
3978224,blitz,2026-01-19,2800,2800.0,2025-12-02,6382,5678,1121
3978224,bullet,2026-01-19,2703,2706.0,2024-06-14,3126,2643,384
65338422,rapid,2026-01-19,2651,2696.0,2025-09-05,340,80,42
65338422,blitz,2026-01-19,2808,2808.0,2025-12-01,185,120,29
65338422,bullet,2026-01-19,2482,2502.0,2024-11-22,3,3,1
502840905,rapid,2026-01-19,2651,2651.0,2026-01-10,187,94,48
502840905,blitz,2026-01-19,2675,2748.0,2026-01-15,80,79,19
502840905,bullet,2026-01-19,2813,2877.0,2025-11-23,326,379,39
4083321,rapid,2026-01-19,2651,2836.0,2020-09-30,76,13,10
4083321,blitz,2026-01-19,2988,3043.0,2025-12-17,16525,9895,3466
4083321,bullet,2026-01-19,2751,2751.0,2021-09-02,17,1,0
58985560,rapid,2026-01-19,2648,2648.0,2025-09-25,325,132,98
58985560,blitz,2026-01-19,2815,2930.0,2025-09-09,3290,2632,898
58985560,bullet,2026-01-19,2618,2765.0,2022-11-07,11316,9827,1678
440178829,rapid,2026-01-19,2648,2654.0,2026-01-09,178,45,18
440178829,blitz,2026-01-19,2329,2540.0,2025-12-27,54,76,14
440178829,bullet,2026-01-19,2169,2264.0,2026-01-11,12,11,1
1973757,rapid,2026-01-19,2645,2664.0,2024-08-14,213,93,34
1973757,blitz,2026-01-19,1957,2211.0,2024-09-30,5108,5222,821
1973757,bullet,2026-01-19,2026,2075.0,2025-06-09,1589,1686,184
490664473,rapid,2026-01-19,2656,2642.0,2025-12-30,450,196,55
490664473,blitz,2026-01-19,2571,2571.0,2026-01-14,64,27,2
55667092,rapid,2026-01-19,2640,2640.0,2026-01-17,2107,1012,355
55667092,blitz,2026-01-19,2800,2800.0,2026-01-14,5498,4128,887
55667092,bullet,2026-01-19,2804,2804.0,2025-08-12,5692,4219,736
66246790,rapid,2026-01-19,2639,2648.0,2025-02-22,32,20,8
66246790,blitz,2026-01-19,3132,3171.0,2025-12-23,4351,3680,862
66246790,bullet,2026-01-19,3258,3413.0,2025-10-02,8181,6159,995
342500227,rapid,2026-01-19,2639,2639.0,2026-01-01,220,139,50
342500227,blitz,2026-01-19,2516,2516.0,2026-01-12,1211,1170,126
342500227,bullet,2026-01-19,2206,2222.0,2025-08-20,1809,1882,118
109315520,rapid,2026-01-19,2638,2654.0,2026-01-12,528,247,51
109315520,blitz,2026-01-19,2861,2869.0,2026-01-13,1454,853,231
109315520,bullet,2026-01-19,2906,2906.0,2026-01-06,1837,1230,202
8879438,rapid,2026-01-19,2637,2637.0,2025-12-27,77,26,11
8879438,blitz,2026-01-19,2911,2911.0,2022-09-03,995,851,188
8879438,bullet,2026-01-19,3023,3025.0,2025-10-30,12493,11192,1765
465636602,blitz,2026-01-19,2893,2900.0,2025-10-30,84,17,9
465636602,bullet,2026-01-19,3500,3500.0,2025-08-19,855,109,26
156574447,rapid,2026-01-19,2050,2805.0,2023-04-19,2,0,0
156574447,blitz,2026-01-19,3031,3031.0,2026-01-15,5729,7509,1324
156574447,bullet,2026-01-19,3327,3335.0,2025-06-12,4648,4835,736
490142287,blitz,2026-01-19,2631,2637.0,2026-01-10,46,39,8
490142287,bullet,2026-01-19,3288,3315.0,2026-01-01,2376,1071,61
147561215,rapid,2026-01-19,2122,2125.0,2025-07-06,84,60,25
147561215,blitz,2026-01-19,2339,2459.0,2025-10-10,857,1037,187
147561215,bullet,2026-01-19,3262,3274.0,2025-12-14,1940,1206,176
8344034,rapid,2026-01-19,2645,2969.0,2020-11-29,661,136,109
8344034,blitz,2026-01-19,3046,3197.0,2025-09-17,6001,3030,665
8344034,bullet,2026-01-19,3259,3504.0,2020-12-01,21845,10028,1635
2555939,rapid,2026-01-19,2928,2928.0,2021-09-25,232,21,7
2555939,blitz,2026-01-19,3125,3125.0,2026-01-17,9470,2690,585
2555939,bullet,2026-01-19,3221,3271.0,2021-06-11,12679,3990,612
26867272,rapid,2026-01-19,2697,2752.0,2024-05-10,395,141,182
26867272,blitz,2026-01-19,3130,3253.0,2026-01-02,18505,7838,3473
26867272,bullet,2026-01-19,3211,3269.0,2024-04-05,12603,5917,1305
26572336,blitz,2026-01-19,3108,3120.0,2026-01-15,4760,2050,814
26572336,bullet,2026-01-19,3209,3256.0,2021-12-17,11441,6195,1054
28168290,rapid,2026-01-19,2672,2939.0,2020-09-14,291,143,96
28168290,blitz,2026-01-19,3106,3212.0,2025-11-04,10574,3203,1596
28168290,bullet,2026-01-19,3208,3431.0,2026-01-08,21620,9001,1979
302890559,rapid,2026-01-19,2252,2419.0,2023-07-30,129,171,28
302890559,blitz,2026-01-19,2278,2364.0,2025-09-22,509,475,77
302890559,bullet,2026-01-19,3206,3206.0,2026-01-17,2460,2677,224
69197334,rapid,2026-01-19,2629,2629.0,2026-01-05,122,57,26
69197334,blitz,2026-01-19,2922,2940.0,2026-01-13,12315,13195,2234
69197334,bullet,2026-01-19,3205,3208.0,2026-01-01,16118,13930,1679
73320100,rapid,2026-01-19,2592,2599.0,2023-10-29,33,15,9
73320100,blitz,2026-01-19,3069,3201.0,2025-09-15,2888,2022,534
73320100,bullet,2026-01-19,3184,3278.0,2024-03-23,7918,7422,1252
34493616,rapid,2026-01-19,2198,2198.0,2025-11-24,35,1,1
34493616,blitz,2026-01-19,2928,3066.0,2025-12-04,2567,1851,546
34493616,bullet,2026-01-19,3181,3274.0,2025-07-28,14067,13450,2134
301895675,rapid,2026-01-19,2557,,,0,1,0
301895675,blitz,2026-01-19,2776,2920.0,2023-07-29,455,412,80
301895675,bullet,2026-01-19,3176,3199.0,2025-12-26,728,702,96
21261922,rapid,2026-01-19,2499,2635.0,2019-08-18,500,70,93
21261922,blitz,2026-01-19,3139,3222.0,2025-12-18,12727,3146,2330
21261922,bullet,2026-01-19,3173,3242.0,2026-01-03,14442,5567,1352
